"ID","First.name","Surname","Playing.for","Jumper.No.","Season","Round","Date","Kicks","Handballs","Disposals","Marks","Goals","Behinds","Hit.Outs","Tackles","Rebounds","Inside.50s","Clearances","Clangers","Frees.For","Frees.Against","Brownlow.Votes","Contested.Possessions","Uncontested.Possessions","Contested.Marks","Marks.Inside.50","One.Percenters","Bounces","Goal.Assists","Venue","Attendance","Home.team","Away.team","Home.score","Away.score"
1178,"Tom","Alvin","Carlton",31,1984,"1","1984-03-31",8,15,23,3,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
1400,"Wayne","Blackwell","Carlton",8,1984,"1","1984-03-31",5,1,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
1564,"Jim","Buckley","Carlton",16,1984,"1","1984-03-31",21,1,22,5,1,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
1680,"Bruce","Doull","Carlton",11,1984,"1","1984-03-31",7,6,13,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
1708,"Des","English","Carlton",27,1984,"1","1984-03-31",11,8,19,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
1333,"David","Glascott","Carlton",32,1984,"1","1984-03-31",13,5,18,4,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
1790,"Wayne","Harmes","Carlton",37,1984,"1","1984-03-31",12,6,18,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
1283,"David","Honybun","Carlton",3,1984,"1","1984-03-31",2,2,4,1,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
1826,"Ken","Hunter","Carlton",9,1984,"1","1984-03-31",19,11,30,9,2,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
1849,"Wayne","Johnston","Carlton",7,1984,"1","1984-03-31",32,11,43,10,5,1,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
1905,"Spiro","Kourkoumelis","Carlton",28,1984,"1","1984-03-31",12,17,29,2,2,1,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
1931,"Mark","MacLure","Carlton",36,1984,"1","1984-03-31",11,7,18,8,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
150,"Justin","Madden","Carlton",44,1984,"1","1984-03-31",12,3,15,5,5,0,21,0,0,0,0,0,3,5,1,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
1959,"Peter","McConville","Carlton",33,1984,"1","1984-03-31",5,6,11,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
1329,"Paul","Meldrum","Carlton",23,1984,"1","1984-03-31",15,9,24,1,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
11163,"Allan","Montgomery","Carlton",18,1984,"1","1984-03-31",12,2,14,4,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
2021,"Fraser","Murphy","Carlton",30,1984,"1","1984-03-31",5,10,15,1,2,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
2066,"Val","Perovic","Carlton",15,1984,"1","1984-03-31",14,1,15,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
2093,"Warren","Ralph","Carlton",22,1984,"1","1984-03-31",15,6,21,11,9,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
2183,"Geoff","Southby","Carlton",20,1984,"1","1984-03-31",6,4,10,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
1618,"Jon","Collins","North Melbourne",11,1984,"1","1984-03-31",7,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
1630,"Gary","Cowton","North Melbourne",1,1984,"1","1984-03-31",7,4,11,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
1667,"Gary","Dempsey","North Melbourne",24,1984,"1","1984-03-31",4,4,8,3,0,0,23,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
1669,"David","Dench","North Melbourne",23,1984,"1","1984-03-31",14,5,19,3,2,2,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
11078,"Dean","Dugdale","North Melbourne",10,1984,"1","1984-03-31",6,5,11,4,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
11079,"Glenn","Dugdale","North Melbourne",19,1984,"1","1984-03-31",2,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
1687,"Ian","Dunstan","North Melbourne",22,1984,"1","1984-03-31",15,5,20,3,1,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
778,"Ian","Fairley","North Melbourne",6,1984,"1","1984-03-31",3,1,4,2,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
1743,"Tony","Furey","North Melbourne",21,1984,"1","1984-03-31",8,1,9,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
1812,"Kym","Hodgeman","North Melbourne",17,1984,"1","1984-03-31",9,5,14,2,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
1815,"John","Holt","North Melbourne",2,1984,"1","1984-03-31",7,3,10,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
11209,"Paul","Johnson","North Melbourne",29,1984,"1","1984-03-31",7,3,10,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
1389,"Jim","Krakouer","North Melbourne",3,1984,"1","1984-03-31",9,7,16,2,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
1906,"Phil","Krakouer","North Melbourne",8,1984,"1","1984-03-31",12,2,14,7,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
1956,"Stephen","McCann","North Melbourne",16,1984,"1","1984-03-31",7,2,9,2,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
1961,"Donald","McDonald","North Melbourne",25,1984,"1","1984-03-31",5,2,7,1,1,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
2094,"Roy","Ramsay","North Melbourne",30,1984,"1","1984-03-31",10,6,16,5,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
2145,"Wayne","Schimmelbusch","North Melbourne",20,1984,"1","1984-03-31",16,10,26,4,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
11083,"Peter","Smith","North Melbourne",5,1984,"1","1984-03-31",5,2,7,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
2218,"Grant","Thomas","North Melbourne",18,1984,"1","1984-03-31",12,4,16,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,"Waverley Park",36504,"North Melbourne","Carlton",62,199
1475,"Bruce","Abernethy","Collingwood",5,1984,"1","1984-03-31",13,6,19,3,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,"Victoria Park",32741,"Collingwood","Melbourne",120,107
1482,"Graeme","Allan","Collingwood",27,1984,"1","1984-03-31",21,5,26,5,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,"Victoria Park",32741,"Collingwood","Melbourne",120,107
1507,"Denis","Banks","Collingwood",12,1984,"1","1984-03-31",6,2,8,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"Victoria Park",32741,"Collingwood","Melbourne",120,107
1510,"Ricky","Barham","Collingwood",1,1984,"1","1984-03-31",11,7,18,7,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Victoria Park",32741,"Collingwood","Melbourne",120,107
11240,"Mark","Beers","Collingwood",40,1984,"1","1984-03-31",13,4,17,2,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,"Victoria Park",32741,"Collingwood","Melbourne",120,107
1286,"David","Cloke","Collingwood",33,1984,"1","1984-03-31",8,3,11,7,3,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"Victoria Park",32741,"Collingwood","Melbourne",120,107
1253,"Peter","Daicos","Collingwood",35,1984,"1","1984-03-31",24,4,28,5,2,0,2,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,"Victoria Park",32741,"Collingwood","Melbourne",120,107
1715,"Wes","Fellowes","Collingwood",23,1984,"1","1984-03-31",11,8,19,11,2,2,15,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,"Victoria Park",32741,"Collingwood","Melbourne",120,107
11050,"Jim","McAllester","Collingwood",46,1984,"1","1984-03-31",2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Victoria Park",32741,"Collingwood","Melbourne",120,107
1957,"Peter","McCormack","Collingwood",6,1984,"1","1984-03-31",9,1,10,3,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,"Victoria Park",32741,"Collingwood","Melbourne",120,107
1396,"Geoff","Miles","Collingwood",29,1984,"1","1984-03-31",13,4,17,5,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,"Victoria Park",32741,"Collingwood","Melbourne",120,107
1254,"Shane","Morwood","Collingwood",7,1984,"1","1984-03-31",5,3,8,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Victoria Park",32741,"Collingwood","Melbourne",120,107
2074,"Greg","Phillips","Collingwood",3,1984,"1","1984-03-31",15,12,27,11,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,"Victoria Park",32741,"Collingwood","Melbourne",120,107
1354,"Michael","Richardson","Collingwood",17,1984,"1","1984-03-31",7,5,12,6,2,1,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,"Victoria Park",32741,"Collingwood","Melbourne",120,107
11206,"Gary","Shaw","Collingwood",11,1984,"1","1984-03-31",14,11,25,3,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"Victoria Park",32741,"Collingwood","Melbourne",120,107
1166,"Tony","Shaw","Collingwood",22,1984,"1","1984-03-31",14,13,27,6,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Victoria Park",32741,"Collingwood","Melbourne",120,107
2207,"Michael","Taylor","Collingwood",28,1984,"1","1984-03-31",8,7,15,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"Victoria Park",32741,"Collingwood","Melbourne",120,107
2235,"David","Twomey","Collingwood",8,1984,"1","1984-03-31",5,3,8,5,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,"Victoria Park",32741,"Collingwood","Melbourne",120,107
2281,"Mark","Williams","Collingwood",21,1984,"1","1984-03-31",6,8,14,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Victoria Park",32741,"Collingwood","Melbourne",120,107
11246,"Dale","Woodhall","Collingwood",2,1984,"1","1984-03-31",5,1,6,4,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Victoria Park",32741,"Collingwood","Melbourne",120,107
1515,"Adrian","Battiston","Melbourne",16,1984,"1","1984-03-31",12,9,21,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Victoria Park",32741,"Collingwood","Melbourne",120,107
11172,"Glenn","Boland","Melbourne",27,1984,"1","1984-03-31",3,5,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Victoria Park",32741,"Collingwood","Melbourne",120,107
1622,"Chris","Connolly","Melbourne",22,1984,"1","1984-03-31",13,6,19,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,"Victoria Park",32741,"Collingwood","Melbourne",120,107
1705,"Roger","Ellingworth","Melbourne",14,1984,"1","1984-03-31",13,3,16,3,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"Victoria Park",32741,"Collingwood","Melbourne",120,107
1725,"Robert","Flower","Melbourne",2,1984,"1","1984-03-31",13,12,25,8,1,1,0,0,0,0,0,0,2,4,2,0,0,0,0,0,0,0,"Victoria Park",32741,"Collingwood","Melbourne",120,107
1756,"Peter","Giles","Melbourne",4,1984,"1","1984-03-31",9,5,14,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"Victoria Park",32741,"Collingwood","Melbourne",120,107
1366,"Gerard","Healy","Melbourne",3,1984,"1","1984-03-31",20,6,26,4,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Victoria Park",32741,"Collingwood","Melbourne",120,107
11215,"Ray","Holden","Melbourne",5,1984,"1","1984-03-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Victoria Park",32741,"Collingwood","Melbourne",120,107
1394,"Danny","Hughes","Melbourne",10,1984,"1","1984-03-31",9,2,11,3,1,0,4,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,"Victoria Park",32741,"Collingwood","Melbourne",120,107
1830,"Stephen","Icke","Melbourne",11,1984,"1","1984-03-31",4,1,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Victoria Park",32741,"Collingwood","Melbourne",120,107
