"ID","First.name","Surname","Playing.for","Jumper.No.","Season","Round","Date","Kicks","Handballs","Disposals","Marks","Goals","Behinds","Hit.Outs","Tackles","Rebounds","Inside.50s","Clearances","Clangers","Frees.For","Frees.Against","Brownlow.Votes","Contested.Possessions","Uncontested.Possessions","Contested.Marks","Marks.Inside.50","One.Percenters","Bounces","Goal.Assists","Venue","Attendance","Home.team","Away.team","Home.score","Away.score"
12106,"Luke","Brown","Adelaide",16,2013,"1","2013-03-22",3,4,7,2,0,0,0,3,2,1,0,0,0,0,0,3,4,0,0,0,0,1,"Football Park",42218,"Adelaide","Essendon",82,117
11700,"Patrick","Dangerfield","Adelaide",32,2013,"1","2013-03-22",10,7,17,1,0,1,0,2,1,4,4,4,1,2,0,12,5,0,0,1,0,0,"Football Park",42218,"Adelaide","Essendon",82,117
2381,"Richard","Douglas","Adelaide",26,2013,"1","2013-03-22",13,6,19,5,2,1,0,2,3,5,3,3,0,1,0,6,13,2,2,0,1,1,"Football Park",42218,"Adelaide","Essendon",82,117
11832,"Ricky","Henderson","Adelaide",45,2013,"1","2013-03-22",11,3,14,7,0,2,0,1,0,3,1,2,1,0,0,6,8,2,1,0,0,0,"Football Park",42218,"Adelaide","Essendon",82,117
11708,"Sam","Jacobs","Adelaide",24,2013,"1","2013-03-22",9,1,10,2,0,1,37,1,4,4,3,1,1,0,0,8,2,1,0,3,0,0,"Football Park",42218,"Adelaide","Essendon",82,117
11838,"Matthew","Jaensch","Adelaide",10,2013,"1","2013-03-22",7,6,13,2,0,0,0,1,5,0,0,0,0,0,0,4,8,1,0,5,0,0,"Football Park",42218,"Adelaide","Essendon",82,117
12074,"Josh","Jenkins","Adelaide",4,2013,"1","2013-03-22",9,2,11,3,1,0,7,1,0,2,1,1,3,1,0,6,4,2,0,1,0,0,"Football Park",42218,"Adelaide","Essendon",82,117
1115,"Graham","Johncock","Adelaide",18,2013,"1","2013-03-22",7,6,13,4,1,1,0,2,0,2,0,0,2,0,0,10,4,2,0,1,0,1,"Football Park",42218,"Adelaide","Essendon",82,117
11634,"David","Mackay","Adelaide",14,2013,"1","2013-03-22",8,8,16,3,1,0,0,4,1,3,1,5,1,2,0,7,9,1,0,0,1,0,"Football Park",42218,"Adelaide","Essendon",82,117
11781,"Brodie","Martin","Adelaide",36,2013,"1","2013-03-22",6,3,9,2,0,0,0,1,3,0,0,0,2,0,0,3,6,0,0,0,0,1,"Football Park",42218,"Adelaide","Essendon",82,117
11678,"Andy","Otten","Adelaide",22,2013,"1","2013-03-22",6,9,15,3,0,0,0,0,2,1,0,2,1,0,0,8,7,0,0,15,0,0,"Football Park",42218,"Adelaide","Essendon",82,117
11714,"Jared","Petrenko","Adelaide",23,2013,"1","2013-03-22",4,1,5,0,1,1,0,6,0,0,0,0,1,0,0,1,0,0,0,0,1,0,"Football Park",42218,"Adelaide","Essendon",82,117
4158,"Jason","Porplyzia","Adelaide",40,2013,"1","2013-03-22",8,8,16,3,1,2,0,1,0,0,0,3,0,1,0,8,7,1,1,1,0,0,"Football Park",42218,"Adelaide","Essendon",82,117
1204,"Brent","Reilly","Adelaide",3,2013,"1","2013-03-22",13,6,19,3,0,0,0,4,7,3,2,7,1,5,0,6,11,0,0,1,1,0,"Football Park",42218,"Adelaide","Essendon",82,117
2305,"Ben","Rutten","Adelaide",25,2013,"1","2013-03-22",2,5,7,1,0,0,0,1,0,0,0,3,0,1,0,6,0,1,0,3,0,0,"Football Park",42218,"Adelaide","Essendon",82,117
11792,"Rory","Sloane","Adelaide",9,2013,"1","2013-03-22",12,11,23,1,0,1,0,6,6,2,4,0,2,0,0,11,11,0,1,1,0,0,"Football Park",42218,"Adelaide","Essendon",82,117
11989,"Daniel","Talia","Adelaide",12,2013,"1","2013-03-22",3,2,5,1,0,0,0,0,1,0,0,3,0,3,0,2,4,0,0,9,0,0,"Football Park",42218,"Adelaide","Essendon",82,117
755,"Scott","Thompson","Adelaide",5,2013,"1","2013-03-22",11,12,23,4,0,0,0,3,3,1,6,3,0,2,0,15,9,1,0,0,0,1,"Football Park",42218,"Adelaide","Essendon",82,117
4075,"Nathan","van Berlo","Adelaide",7,2013,"1","2013-03-22",12,2,14,3,1,0,0,1,2,3,1,1,2,1,0,7,8,0,0,1,0,1,"Football Park",42218,"Adelaide","Essendon",82,117
4151,"Bernie","Vince","Adelaide",17,2013,"1","2013-03-22",10,6,16,2,0,0,0,1,1,5,1,5,2,4,0,6,10,0,0,2,0,0,"Football Park",42218,"Adelaide","Essendon",82,117
11713,"Taylor","Walker","Adelaide",13,2013,"1","2013-03-22",9,5,14,4,3,1,0,1,0,5,0,3,2,2,0,9,3,1,3,1,0,1,"Football Park",42218,"Adelaide","Essendon",82,117
11929,"Matthew","Wright","Adelaide",11,2013,"1","2013-03-22",14,10,24,7,0,0,0,5,3,4,6,2,2,1,0,11,12,0,0,0,0,0,"Football Park",42218,"Adelaide","Essendon",82,117
12107,"Mark","Baguley","Essendon",46,2013,"1","2013-03-22",6,1,7,4,0,0,0,3,2,0,0,3,1,3,0,1,5,0,0,1,0,0,"Football Park",42218,"Adelaide","Essendon",82,117
11675,"Tom","Bellchambers","Essendon",2,2013,"1","2013-03-22",5,3,8,2,1,1,26,1,0,2,4,4,1,3,0,5,3,1,1,2,0,0,"Football Park",42218,"Adelaide","Essendon",82,117
