"ID","First.name","Surname","Playing.for","Jumper.No.","Season","Round","Date","Kicks","Handballs","Disposals","Marks","Goals","Behinds","Hit.Outs","Tackles","Rebounds","Inside.50s","Clearances","Clangers","Frees.For","Frees.Against","Brownlow.Votes","Contested.Possessions","Uncontested.Possessions","Contested.Marks","Marks.Inside.50","One.Percenters","Bounces","Goal.Assists","Venue","Attendance","Home.team","Away.team","Home.score","Away.score"
2494,"Frank","Anderson","Carlton",1,1936,"1","1936-05-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
1579,"Jack","Carney","Carlton",7,1936,"1","1936-05-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
2684,"Ansell","Clarke","Carlton",31,1936,"1","1936-05-02",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
8001,"George","Collard","Carlton",13,1936,"1","1936-05-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
1635,"Mickey","Crisp","Carlton",12,1936,"1","1936-05-02",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
1648,"Charlie","Davey","Carlton",17,1936,"1","1936-05-02",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
2774,"Clen","Denning","Carlton",34,1936,"1","1936-05-02",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
2798,"George","Dougherty","Carlton",6,1936,"1","1936-05-02",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
1738,"Jim","Francis","Carlton",10,1936,"1","1936-05-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
1753,"Fred","Gilby","Carlton",6,1936,"1","1936-05-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
1754,"Frank","Gill","Carlton",21,1936,"1","1936-05-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
2963,"Bob","Green","Carlton",32,1936,"1","1936-05-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
2987,"Jack","Hale","Carlton",11,1936,"1","1936-05-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
3127,"Maurie","Johnson","Carlton",32,1936,"1","1936-05-02",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
3251,"Gordon","Mackie","Carlton",24,1936,"1","1936-05-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
3328,"Rod","McLean","Carlton",14,1936,"1","1936-05-02",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
3502,"Jim","Park","Carlton",26,1936,"1","1936-05-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
3685,"Keith","Shea","Carlton",8,1936,"1","1936-05-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
2239,"Harry","Vallence","Carlton",22,1936,"1","1936-05-02",0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
8057,"Norm","Andrews","Fitzroy",6,1936,"1","1936-05-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
2547,"Colin","Benham","Fitzroy",1,1936,"1","1936-05-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
1466,"Haydn","Bunton","Fitzroy",7,1936,"1","1936-05-02",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
1577,"Charlie","Cameron","Fitzroy",20,1936,"1","1936-05-02",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
7889,"Col","Crawford","Fitzroy",0,1936,"1","1936-05-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
2745,"Frank","Curcio","Fitzroy",18,1936,"1","1936-05-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
2760,"Horrie","Dawson","Fitzroy",30,1936,"1","1936-05-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
7494,"Alan","Fitcher","Fitzroy",29,1936,"1","1936-05-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
2950,"Wally","Gray","Fitzroy",22,1936,"1","1936-05-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
2988,"Arthur","Hall","Fitzroy",25,1936,"1","1936-05-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
3030,"Maurie","Hearn","Fitzroy",28,1936,"1","1936-05-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
3279,"Leo","Maynes","Fitzroy",15,1936,"1","1936-05-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
3416,"Alf","Neeson","Fitzroy",8,1936,"1","1936-05-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
3646,"Denis","Ryan","Fitzroy",4,1936,"1","1936-05-02",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
3680,"Mickey","Sharp","Fitzroy",27,1936,"1","1936-05-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
7909,"Allan","Thompson","Fitzroy",24,1936,"1","1936-05-02",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
7982,"Jim","Toohey","Fitzroy",10,1936,"1","1936-05-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
3854,"Len","Watt","Fitzroy",2,1936,"1","1936-05-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
3881,"Tommy","Williams","Fitzroy",14,1936,"1","1936-05-02",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brunswick St",32000,"Fitzroy","Carlton",87,163
