"ID","First.name","Surname","Playing.for","Jumper.No.","Season","Round","Date","Kicks","Handballs","Disposals","Marks","Goals","Behinds","Hit.Outs","Tackles","Rebounds","Inside.50s","Clearances","Clangers","Frees.For","Frees.Against","Brownlow.Votes","Contested.Possessions","Uncontested.Possessions","Contested.Marks","Marks.Inside.50","One.Percenters","Bounces","Goal.Assists","Venue","Attendance","Home.team","Away.team","Home.score","Away.score"
1492,"Rodney","Ashman","Carlton",14,1980,"1","1980-03-29",23,7,30,6,2,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"Victoria Park",29593,"Collingwood","Carlton",94,132
1496,"Rod","Austin","Carlton",21,1980,"1","1980-03-29",8,3,11,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,"Victoria Park",29593,"Collingwood","Carlton",94,132
10889,"Peter","Brown","Carlton",41,1980,"1","1980-03-29",3,1,4,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Victoria Park",29593,"Collingwood","Carlton",94,132
1564,"Jim","Buckley","Carlton",16,1980,"1","1980-03-29",10,2,12,2,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,"Victoria Park",29593,"Collingwood","Carlton",94,132
1592,"Vin","Catoggio","Carlton",4,1980,"1","1980-03-29",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Victoria Park",29593,"Collingwood","Carlton",94,132
1680,"Bruce","Doull","Carlton",11,1980,"1","1980-03-29",11,9,20,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"Victoria Park",29593,"Collingwood","Carlton",94,132
1722,"Mike","Fitzpatrick","Carlton",3,1980,"1","1980-03-29",16,9,25,12,2,1,18,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,"Victoria Park",29593,"Collingwood","Carlton",94,132
1739,"Peter","Francis","Carlton",47,1980,"1","1980-03-29",13,4,17,2,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,"Victoria Park",29593,"Collingwood","Carlton",94,132
1801,"Kevin","Heath","Carlton",18,1980,"1","1980-03-29",8,3,11,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"Victoria Park",29593,"Collingwood","Carlton",94,132
1849,"Wayne","Johnston","Carlton",7,1980,"1","1980-03-29",18,5,23,9,7,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Victoria Park",29593,"Collingwood","Carlton",94,132
1855,"Warren","Jones","Carlton",2,1980,"1","1980-03-29",6,2,8,2,2,0,14,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,"Victoria Park",29593,"Collingwood","Carlton",94,132
1881,"Robbert","Klomp","Carlton",22,1980,"1","1980-03-29",5,6,11,5,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Victoria Park",29593,"Collingwood","Carlton",94,132
1931,"Mark","MacLure","Carlton",36,1980,"1","1980-03-29",7,6,13,7,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,"Victoria Park",29593,"Collingwood","Carlton",94,132
1939,"Alan","Mangels","Carlton",10,1980,"1","1980-03-29",17,4,21,2,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,"Victoria Park",29593,"Collingwood","Carlton",94,132
1946,"Alex","Marcou","Carlton",34,1980,"1","1980-03-29",9,2,11,1,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,"Victoria Park",29593,"Collingwood","Carlton",94,132
1951,"Phil","Maylin","Carlton",13,1980,"1","1980-03-29",16,3,19,4,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Victoria Park",29593,"Collingwood","Carlton",94,132
1959,"Peter","McConville","Carlton",33,1980,"1","1980-03-29",5,3,8,4,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Victoria Park",29593,"Collingwood","Carlton",94,132
2066,"Val","Perovic","Carlton",15,1980,"1","1980-03-29",7,3,10,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,"Victoria Park",29593,"Collingwood","Carlton",94,132
1411,"Ken","Sheldon","Carlton",5,1980,"1","1980-03-29",11,3,14,3,2,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"Victoria Park",29593,"Collingwood","Carlton",94,132
10940,"Michael","Young","Carlton",19,1980,"1","1980-03-29",10,4,14,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,"Victoria Park",29593,"Collingwood","Carlton",94,132
1510,"Ricky","Barham","Collingwood",1,1980,"1","1980-03-29",14,6,20,2,1,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,"Victoria Park",29593,"Collingwood","Carlton",94,132
1549,"Ross","Brewer","Collingwood",20,1980,"1","1980-03-29",8,2,10,4,3,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Victoria Park",29593,"Collingwood","Carlton",94,132
1574,"Ray","Byrne","Collingwood",26,1980,"1","1980-03-29",5,4,9,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,"Victoria Park",29593,"Collingwood","Carlton",94,132
1253,"Peter","Daicos","Collingwood",35,1980,"1","1980-03-29",18,5,23,2,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"Victoria Park",29593,"Collingwood","Carlton",94,132
1655,"Allan","Davis","Collingwood",32,1980,"1","1980-03-29",9,0,9,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,"Victoria Park",29593,"Collingwood","Carlton",94,132
1656,"Craig","Davis","Collingwood",19,1980,"1","1980-03-29",7,0,7,4,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Victoria Park",29593,"Collingwood","Carlton",94,132
