"ID","First.name","Surname","Playing.for","Jumper.No.","Season","Round","Date","Kicks","Handballs","Disposals","Marks","Goals","Behinds","Hit.Outs","Tackles","Rebounds","Inside.50s","Clearances","Clangers","Frees.For","Frees.Against","Brownlow.Votes","Contested.Possessions","Uncontested.Possessions","Contested.Marks","Marks.Inside.50","One.Percenters","Bounces","Goal.Assists","Venue","Attendance","Home.team","Away.team","Home.score","Away.score"
747,"Cameron","Bruce","Melbourne",32,2000,"1","2000-03-08",8,5,13,2,1,3,0,1,0,3,0,4,1,2,0,8,6,0,1,1,0,0,"M.C.G.",41648,"Richmond","Melbourne",94,92
480,"Scott","Chisholm","Melbourne",19,2000,"1","2000-03-08",2,6,8,0,0,0,0,0,0,1,3,2,0,1,0,6,2,0,0,1,0,0,"M.C.G.",41648,"Richmond","Melbourne",94,92
156,"James","Cook","Melbourne",8,2000,"1","2000-03-08",5,0,5,5,2,2,0,0,0,0,0,1,0,1,0,3,2,3,4,1,0,0,"M.C.G.",41648,"Richmond","Melbourne",94,92
703,"Jeff","Farmer","Melbourne",33,2000,"1","2000-03-08",7,5,12,3,2,1,0,3,0,1,3,2,3,3,0,7,8,1,2,0,0,0,"M.C.G.",41648,"Richmond","Melbourne",94,92
690,"Steven","Febey","Melbourne",21,2000,"1","2000-03-08",17,3,20,3,2,1,0,0,4,4,0,1,2,0,0,4,15,0,0,0,0,0,"M.C.G.",41648,"Richmond","Melbourne",94,92
729,"Brent","Grgic","Melbourne",4,2000,"1","2000-03-08",4,1,5,1,1,0,0,0,0,3,0,1,0,0,0,1,3,0,0,0,0,0,"M.C.G.",41648,"Richmond","Melbourne",94,92
25,"Anthony","Ingerson","Melbourne",27,2000,"1","2000-03-08",9,1,10,4,0,0,1,0,4,1,0,1,3,0,0,4,1,3,0,2,0,0,"M.C.G.",41648,"Richmond","Melbourne",94,92
732,"Travis","Johnstone","Melbourne",16,2000,"1","2000-03-08",10,5,15,3,2,0,0,1,0,7,2,4,0,0,0,7,8,1,1,0,2,0,"M.C.G.",41648,"Richmond","Melbourne",94,92
724,"Andrew","Leoncelli","Melbourne",36,2000,"1","2000-03-08",7,5,12,1,0,0,1,2,3,3,1,1,1,3,0,5,7,0,0,1,0,0,"M.C.G.",41648,"Richmond","Melbourne",94,92
727,"Anthony","McDonald","Melbourne",35,2000,"1","2000-03-08",12,7,19,3,0,0,0,2,0,8,5,0,4,2,0,6,18,0,0,0,6,0,"M.C.G.",41648,"Richmond","Melbourne",94,92
730,"James","McDonald","Melbourne",23,2000,"1","2000-03-08",12,2,14,4,0,0,0,2,2,4,0,4,0,3,0,6,7,1,0,0,2,0,"M.C.G.",41648,"Richmond","Melbourne",94,92
689,"David","Neitz","Melbourne",9,2000,"1","2000-03-08",3,2,5,3,0,0,0,0,1,1,0,3,2,1,0,4,3,1,0,0,0,0,"M.C.G.",41648,"Richmond","Melbourne",94,92
728,"Alistair","Nicholson","Melbourne",44,2000,"1","2000-03-08",4,5,9,4,0,0,2,1,2,0,2,1,0,0,0,3,5,1,0,0,0,0,"M.C.G.",41648,"Richmond","Melbourne",94,92
456,"Stephen","Powell","Melbourne",7,2000,"1","2000-03-08",15,9,24,1,0,1,0,2,3,7,5,2,1,3,0,9,14,0,0,3,1,0,"M.C.G.",41648,"Richmond","Melbourne",94,92
734,"Guy","Rigoni","Melbourne",43,2000,"1","2000-03-08",14,6,20,3,0,0,0,1,1,4,3,3,1,1,0,7,13,0,0,1,1,0,"M.C.G.",41648,"Richmond","Melbourne",94,92
731,"Russell","Robertson","Melbourne",24,2000,"1","2000-03-08",6,1,7,2,1,0,0,0,0,3,1,0,0,1,0,5,2,0,1,0,1,0,"M.C.G.",41648,"Richmond","Melbourne",94,92
713,"David","Schwarz","Melbourne",5,2000,"1","2000-03-08",11,3,14,3,0,4,3,4,0,5,2,1,3,4,0,7,7,0,0,3,1,0,"M.C.G.",41648,"Richmond","Melbourne",94,92
743,"Troy","Simmonds","Melbourne",46,2000,"1","2000-03-08",3,3,6,1,0,0,2,0,2,0,1,0,0,2,0,4,2,0,0,0,0,0,"M.C.G.",41648,"Richmond","Melbourne",94,92
744,"Peter","Walsh","Melbourne",42,2000,"1","2000-03-08",3,5,8,1,0,0,0,1,2,1,0,2,0,4,0,4,5,0,0,0,0,0,"M.C.G.",41648,"Richmond","Melbourne",94,92
502,"Jeff","White","Melbourne",34,2000,"1","2000-03-08",9,8,17,6,0,0,24,5,1,2,3,2,5,2,0,10,6,3,0,2,0,0,"M.C.G.",41648,"Richmond","Melbourne",94,92
725,"Shane","Woewodin","Melbourne",22,2000,"1","2000-03-08",8,4,12,2,0,0,0,3,4,2,3,1,1,0,0,6,4,0,0,0,0,0,"M.C.G.",41648,"Richmond","Melbourne",94,92
