"ID","First.name","Surname","Playing.for","Jumper.No.","Season","Round","Date","Kicks","Handballs","Disposals","Marks","Goals","Behinds","Hit.Outs","Tackles","Rebounds","Inside.50s","Clearances","Clangers","Frees.For","Frees.Against","Brownlow.Votes","Contested.Possessions","Uncontested.Possessions","Contested.Marks","Marks.Inside.50","One.Percenters","Bounces","Goal.Assists","Venue","Attendance","Home.team","Away.team","Home.score","Away.score"
11225,"Peter","Banfield","Brisbane Bears",12,1987,"1","1987-03-27",6,3,9,1,0,1,0,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
1281,"Matthew","Campbell","Brisbane Bears",25,1987,"1","1987-03-27",14,5,19,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
11121,"Dale","Dickson","Brisbane Bears",6,1987,"1","1987-03-27",11,8,19,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
1698,"Jim","Edmond","Brisbane Bears",20,1987,"1","1987-03-27",11,5,16,6,3,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
11213,"John","Fidge","Brisbane Bears",10,1987,"1","1987-03-27",16,9,25,4,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
1300,"Brad","Hardie","Brisbane Bears",5,1987,"1","1987-03-27",14,3,17,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
1794,"Bernie","Harris","Brisbane Bears",13,1987,"1","1987-03-27",17,13,30,3,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
11387,"Neil","Hein","Brisbane Bears",15,1987,"1","1987-03-27",2,2,4,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
1960,"Michael","McCarthy","Brisbane Bears",9,1987,"1","1987-03-27",13,8,21,5,1,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
1308,"Mark","Mickan","Brisbane Bears",1,1987,"1","1987-03-27",8,10,18,7,0,1,20,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
11291,"Cameron","OBrien","Brisbane Bears",28,1987,"1","1987-03-27",4,1,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
2045,"David","OKeeffe","Brisbane Bears",31,1987,"1","1987-03-27",11,4,15,2,1,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
1379,"Brenton","Phillips","Brisbane Bears",11,1987,"1","1987-03-27",18,10,28,5,5,2,1,1,0,0,0,0,1,1,3,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
2092,"Geoff","Raines","Brisbane Bears",4,1987,"1","1987-03-27",15,5,20,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
2107,"Steve","Reynoldson","Brisbane Bears",3,1987,"1","1987-03-27",11,5,16,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
1354,"Michael","Richardson","Brisbane Bears",8,1987,"1","1987-03-27",9,13,22,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
767,"Mark","Roberts","Brisbane Bears",27,1987,"1","1987-03-27",6,3,9,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
2251,"Phil","Walsh","Brisbane Bears",18,1987,"1","1987-03-27",17,14,31,5,0,1,0,3,0,0,0,0,2,1,1,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
11143,"Chris","Waterson","Brisbane Bears",17,1987,"1","1987-03-27",5,1,6,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
2281,"Mark","Williams","Brisbane Bears",2,1987,"1","1987-03-27",16,11,27,5,2,2,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
1478,"David","Ackerly","North Melbourne",10,1987,"1","1987-03-27",13,5,18,4,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
1307,"Mark","Arceri","North Melbourne",17,1987,"1","1987-03-27",17,2,19,8,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
781,"Darren","Crocker","North Melbourne",27,1987,"1","1987-03-27",9,7,16,4,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
1692,"David","Dwyer","North Melbourne",5,1987,"1","1987-03-27",14,6,20,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
1228,"Peter","German","North Melbourne",29,1987,"1","1987-03-27",12,4,16,5,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
1388,"Darren","Harris","North Melbourne",26,1987,"1","1987-03-27",11,2,13,6,2,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
1807,"Steve","Hickey","North Melbourne",24,1987,"1","1987-03-27",10,3,13,3,0,1,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
11334,"Dale","Holmes","North Melbourne",44,1987,"1","1987-03-27",3,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
1815,"John","Holt","North Melbourne",2,1987,"1","1987-03-27",11,9,20,7,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
1389,"Jim","Krakouer","North Melbourne",3,1987,"1","1987-03-27",13,5,18,7,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
1303,"Matthew","Larkin","North Melbourne",9,1987,"1","1987-03-27",12,14,26,6,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
1390,"John","Law","North Melbourne",13,1987,"1","1987-03-27",7,3,10,2,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
11295,"Jason","Love","North Melbourne",39,1987,"1","1987-03-27",3,3,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
1956,"Stephen","McCann","North Melbourne",16,1987,"1","1987-03-27",5,4,9,1,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
1961,"Donald","McDonald","North Melbourne",25,1987,"1","1987-03-27",8,4,12,2,0,0,2,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
2008,"John","Mossop","North Melbourne",4,1987,"1","1987-03-27",5,6,11,6,1,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
2145,"Wayne","Schimmelbusch","North Melbourne",20,1987,"1","1987-03-27",12,7,19,6,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
758,"Ross","Smith","North Melbourne",15,1987,"1","1987-03-27",12,2,14,3,1,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
1236,"Darren","Steele","North Melbourne",7,1987,"1","1987-03-27",18,7,25,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
11249,"Jamie","Stevenson","North Melbourne",43,1987,"1","1987-03-27",9,0,9,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"M.C.G.",14096,"North Melbourne","Brisbane Bears",104,137
1178,"Tom","Alvin","Carlton",31,1987,"1","1987-03-28",12,2,14,4,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Princes Park",19967,"Carlton","Hawthorn",104,149
151,"Craig","Bradley","Carlton",21,1987,"1","1987-03-28",8,3,11,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Princes Park",19967,"Carlton","Hawthorn",104,149
139,"Peter","Dean","Carlton",35,1987,"1","1987-03-28",4,1,5,1,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,"Princes Park",19967,"Carlton","Hawthorn",104,149
1710,"Bernie","Evans","Carlton",15,1987,"1","1987-03-28",10,4,14,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",19967,"Carlton","Hawthorn",104,149
1333,"David","Glascott","Carlton",32,1987,"1","1987-03-28",15,7,22,5,1,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,"Princes Park",19967,"Carlton","Hawthorn",104,149
1849,"Wayne","Johnston","Carlton",7,1987,"1","1987-03-28",20,1,21,1,0,2,0,5,0,0,0,0,3,1,0,0,0,0,0,0,0,0,"Princes Park",19967,"Carlton","Hawthorn",104,149
148,"Stephen","Kernahan","Carlton",4,1987,"1","1987-03-28",14,3,17,6,4,1,6,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,"Princes Park",19967,"Carlton","Hawthorn",104,149
150,"Justin","Madden","Carlton",44,1987,"1","1987-03-28",7,8,15,2,1,0,16,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,"Princes Park",19967,"Carlton","Hawthorn",104,149
1329,"Paul","Meldrum","Carlton",23,1987,"1","1987-03-28",9,4,13,4,0,1,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,"Princes Park",19967,"Carlton","Hawthorn",104,149
2009,"Peter","Motley","Carlton",2,1987,"1","1987-03-28",9,3,12,4,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"Princes Park",19967,"Carlton","Hawthorn",104,149
2021,"Fraser","Murphy","Carlton",30,1987,"1","1987-03-28",12,3,15,1,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"Princes Park",19967,"Carlton","Hawthorn",104,149
1334,"Mark","Naley","Carlton",17,1987,"1","1987-03-28",9,5,14,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Princes Park",19967,"Carlton","Hawthorn",104,149
1412,"Darren","Ogier","Carlton",34,1987,"1","1987-03-28",5,6,11,4,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Princes Park",19967,"Carlton","Hawthorn",104,149
2108,"David","Rhys-Jones","Carlton",26,1987,"1","1987-03-28",7,2,9,4,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Princes Park",19967,"Carlton","Hawthorn",104,149
2126,"Shane","Robertson","Carlton",38,1987,"1","1987-03-28",6,0,6,0,0,1,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,"Princes Park",19967,"Carlton","Hawthorn",104,149
710,"Peter","Rohde","Carlton",41,1987,"1","1987-03-28",20,3,23,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",19967,"Carlton","Hawthorn",104,149
1171,"Peter","Sartori","Carlton",18,1987,"1","1987-03-28",5,6,11,3,1,0,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Princes Park",19967,"Carlton","Hawthorn",104,149
2166,"Brad","Shine","Carlton",10,1987,"1","1987-03-28",14,4,18,0,0,0,0,3,0,0,0,0,6,1,1,0,0,0,0,0,0,0,"Princes Park",19967,"Carlton","Hawthorn",104,149
136,"Stephen","Silvagni","Carlton",1,1987,"1","1987-03-28",7,6,13,4,3,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,"Princes Park",19967,"Carlton","Hawthorn",104,149
11325,"Dean","Strauch","Carlton",14,1987,"1","1987-03-28",2,3,5,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,"Princes Park",19967,"Carlton","Hawthorn",104,149
1275,"Paul","Abbott","Hawthorn",39,1987,"1","1987-03-28",6,2,8,3,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Princes Park",19967,"Carlton","Hawthorn",104,149
