"ID","First.name","Surname","Playing.for","Jumper.No.","Season","Round","Date","Kicks","Handballs","Disposals","Marks","Goals","Behinds","Hit.Outs","Tackles","Rebounds","Inside.50s","Clearances","Clangers","Frees.For","Frees.Against","Brownlow.Votes","Contested.Possessions","Uncontested.Possessions","Contested.Marks","Marks.Inside.50","One.Percenters","Bounces","Goal.Assists","Venue","Attendance","Home.team","Away.team","Home.score","Away.score"
2591,"Ray","Brew","Carlton",26,1929,"1","1929-04-27",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",7000,"Carlton","Essendon",131,58
2694,"Horrie","Clover","Carlton",1,1929,"1","1929-04-27",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",7000,"Carlton","Essendon",131,58
2701,"Norm","Collins","Carlton",5,1929,"1","1929-04-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",7000,"Carlton","Essendon",131,58
7525,"Jim","Crowe","Carlton",23,1929,"1","1929-04-27",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",7000,"Carlton","Essendon",131,58
1648,"Charlie","Davey","Carlton",17,1929,"1","1929-04-27",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",7000,"Carlton","Essendon",131,58
7526,"Alex","Doyle","Carlton",19,1929,"1","1929-04-27",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",7000,"Carlton","Essendon",131,58
2810,"Alex","Duncan","Carlton",32,1929,"1","1929-04-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",7000,"Carlton","Essendon",131,58
6994,"Harvey","Dunn","Carlton",16,1929,"1","1929-04-27",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",7000,"Carlton","Essendon",131,58
1753,"Fred","Gilby","Carlton",6,1929,"1","1929-04-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",7000,"Carlton","Essendon",131,58
1754,"Frank","Gill","Carlton",21,1929,"1","1929-04-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",7000,"Carlton","Essendon",131,58
3127,"Maurie","Johnson","Carlton",15,1929,"1","1929-04-27",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",7000,"Carlton","Essendon",131,58
7327,"Dinny","Kelleher","Carlton",10,1929,"1","1929-04-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",7000,"Carlton","Essendon",131,58
7234,"Joe","Kelly","Carlton",7,1929,"1","1929-04-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",7000,"Carlton","Essendon",131,58
7529,"Aubrey","Martyn","Carlton",4,1929,"1","1929-04-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",7000,"Carlton","Essendon",131,58
1942,"Colin","Martyn","Carlton",2,1929,"1","1929-04-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",7000,"Carlton","Essendon",131,58
7137,"Charlie","McSwain","Carlton",3,1929,"1","1929-04-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",7000,"Carlton","Essendon",131,58
7530,"Charlie","Parsons","Carlton",27,1929,"1","1929-04-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",7000,"Carlton","Essendon",131,58
2239,"Harry","Vallence","Carlton",22,1929,"1","1929-04-27",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",7000,"Carlton","Essendon",131,58
2539,"Norm","Beckton","Essendon",3,1929,"1","1929-04-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",7000,"Carlton","Essendon",131,58
1889,"Garnet","Campbell","Essendon",17,1929,"1","1929-04-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",7000,"Carlton","Essendon",131,58
1581,"Syd","Carman","Essendon",11,1929,"1","1929-04-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",7000,"Carlton","Essendon",131,58
1600,"Thomas","Clarke","Essendon",23,1929,"1","1929-04-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",7000,"Carlton","Essendon",131,58
1729,"Keith","Forbes","Essendon",35,1929,"1","1929-04-27",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",7000,"Carlton","Essendon",131,58
1773,"Joe","Hammond","Essendon",20,1929,"1","1929-04-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",7000,"Carlton","Essendon",131,58
6778,"Harry","Hunter","Essendon",7,1929,"1","1929-04-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",7000,"Carlton","Essendon",131,58
1847,"Len","Johnson","Essendon",14,1929,"1","1929-04-27",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",7000,"Carlton","Essendon",131,58
3414,"Frank","Nash","Essendon",22,1929,"1","1929-04-27",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",7000,"Carlton","Essendon",131,58
2050,"Howard","Okey","Essendon",2,1929,"1","1929-04-27",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",7000,"Carlton","Essendon",131,58
7372,"Keith","Parris","Essendon",21,1929,"1","1929-04-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",7000,"Carlton","Essendon",131,58
3556,"Jim","Quinn","Essendon",31,1929,"1","1929-04-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",7000,"Carlton","Essendon",131,58
7282,"Artie","Rennie","Essendon",33,1929,"1","1929-04-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",7000,"Carlton","Essendon",131,58
7283,"Bill","Speakman","Essendon",30,1929,"1","1929-04-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",7000,"Carlton","Essendon",131,58
2243,"Jack","Vosti","Essendon",5,1929,"1","1929-04-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Princes Park",7000,"Carlton","Essendon",131,58
