"ID","First.name","Surname","Playing.for","Jumper.No.","Season","Round","Date","Kicks","Handballs","Disposals","Marks","Goals","Behinds","Hit.Outs","Tackles","Rebounds","Inside.50s","Clearances","Clangers","Frees.For","Frees.Against","Brownlow.Votes","Contested.Possessions","Uncontested.Possessions","Contested.Marks","Marks.Inside.50","One.Percenters","Bounces","Goal.Assists","Venue","Attendance","Home.team","Away.team","Home.score","Away.score"
1475,"Bruce","Abernethy","Collingwood",5,1986,"1","1986-03-29",19,3,22,5,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,"Victoria Park",28634,"Collingwood","Essendon",68,133
1510,"Ricky","Barham","Collingwood",1,1986,"1","1986-03-29",7,3,10,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"Victoria Park",28634,"Collingwood","Essendon",68,133
11289,"Tony","Burgess","Collingwood",20,1986,"1","1986-03-29",13,0,13,3,1,1,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,"Victoria Park",28634,"Collingwood","Essendon",68,133
11327,"Greg","Daniels","Collingwood",37,1986,"1","1986-03-29",3,2,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Victoria Park",28634,"Collingwood","Essendon",68,133
1715,"Wes","Fellowes","Collingwood",15,1986,"1","1986-03-29",2,4,6,1,0,0,8,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,"Victoria Park",28634,"Collingwood","Essendon",68,133
4003,"Michael","Gayfer","Collingwood",51,1986,"1","1986-03-29",6,6,12,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,"Victoria Park",28634,"Collingwood","Essendon",68,133
11329,"Brett","Gloury","Collingwood",38,1986,"1","1986-03-29",2,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,"Victoria Park",28634,"Collingwood","Essendon",68,133
395,"James","Manson","Collingwood",30,1986,"1","1986-03-29",4,6,10,2,0,1,11,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,"Victoria Park",28634,"Collingwood","Essendon",68,133
1285,"Ron","McKeown","Collingwood",25,1986,"1","1986-03-29",5,2,7,3,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Victoria Park",28634,"Collingwood","Essendon",68,133
1292,"Darren","Millane","Collingwood",42,1986,"1","1986-03-29",16,8,24,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"Victoria Park",28634,"Collingwood","Essendon",68,133
1254,"Shane","Morwood","Collingwood",7,1986,"1","1986-03-29",5,7,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Victoria Park",28634,"Collingwood","Essendon",68,133
2074,"Greg","Phillips","Collingwood",3,1986,"1","1986-03-29",9,6,15,4,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,"Victoria Park",28634,"Collingwood","Essendon",68,133
2076,"Bill","Picken","Collingwood",2,1986,"1","1986-03-29",6,1,7,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"Victoria Park",28634,"Collingwood","Essendon",68,133
2092,"Geoff","Raines","Collingwood",4,1986,"1","1986-03-29",9,7,16,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,"Victoria Park",28634,"Collingwood","Essendon",68,133
1354,"Michael","Richardson","Collingwood",17,1986,"1","1986-03-29",9,3,12,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,"Victoria Park",28634,"Collingwood","Essendon",68,133
11245,"Neville","Shaw","Collingwood",23,1986,"1","1986-03-29",15,7,22,2,1,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,"Victoria Park",28634,"Collingwood","Essendon",68,133
1166,"Tony","Shaw","Collingwood",22,1986,"1","1986-03-29",19,9,28,3,1,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,"Victoria Park",28634,"Collingwood","Essendon",68,133
2179,"Greg","Smith","Collingwood",8,1986,"1","1986-03-29",6,6,12,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,"Victoria Park",28634,"Collingwood","Essendon",68,133
11292,"Gordon","Sumner","Collingwood",41,1986,"1","1986-03-29",6,6,12,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"Victoria Park",28634,"Collingwood","Essendon",68,133
2281,"Mark","Williams","Collingwood",21,1986,"1","1986-03-29",20,8,28,7,0,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,"Victoria Park",28634,"Collingwood","Essendon",68,133
1503,"Leon","Baker","Essendon",4,1986,"1","1986-03-29",10,7,17,5,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,"Victoria Park",28634,"Collingwood","Essendon",68,133
1352,"Steven","Clark","Essendon",12,1986,"1","1986-03-29",14,5,19,1,1,4,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,"Victoria Park",28634,"Collingwood","Essendon",68,133
