"ID","First.name","Surname","Playing.for","Jumper.No.","Season","Round","Date","Kicks","Handballs","Disposals","Marks","Goals","Behinds","Hit.Outs","Tackles","Rebounds","Inside.50s","Clearances","Clangers","Frees.For","Frees.Against","Brownlow.Votes","Contested.Possessions","Uncontested.Possessions","Contested.Marks","Marks.Inside.50","One.Percenters","Bounces","Goal.Assists","Venue","Attendance","Home.team","Away.team","Home.score","Away.score"
12661,"Liam","Baker","Richmond",7,2023,"1","2023-03-16",10,5,15,5,0,0,0,1,2,1,0,2,2,2,0,4,10,0,0,0,1,0,"M.C.G.",88084,"Richmond","Carlton",58,58
12686,"Noah","Balta","Richmond",21,2023,"1","2023-03-16",6,2,8,3,0,0,0,1,4,1,0,2,0,0,0,5,2,2,0,2,0,0,"M.C.G.",88084,"Richmond","Carlton",58,58
12535,"Shai","Bolton","Richmond",29,2023,"1","2023-03-16",15,3,18,6,1,1,0,4,0,7,3,5,2,2,3,8,12,1,2,1,1,1,"M.C.G.",88084,"Richmond","Carlton",58,58
12456,"Nathan","Broad","Richmond",35,2023,"1","2023-03-16",11,2,13,7,0,0,0,3,2,2,1,2,0,0,0,2,11,1,0,3,0,0,"M.C.G.",88084,"Richmond","Carlton",58,58
11666,"Trent","Cotchin","Richmond",9,2023,"1","2023-03-16",9,9,18,3,0,0,0,3,3,3,4,5,0,3,0,11,7,0,0,2,0,0,"M.C.G.",88084,"Richmond","Carlton",58,58
12576,"Jack","Graham","Richmond",34,2023,"1","2023-03-16",11,9,20,1,0,2,0,9,0,5,2,6,3,2,0,9,11,0,0,1,0,0,"M.C.G.",88084,"Richmond","Carlton",58,58
11879,"Dylan","Grimes","Richmond",2,2023,"1","2023-03-16",8,4,12,5,0,0,0,2,1,0,0,0,0,0,0,4,5,1,0,4,0,0,"M.C.G.",88084,"Richmond","Carlton",58,58
12440,"Jacob","Hopper","Richmond",22,2023,"1","2023-03-16",12,6,18,3,0,0,0,3,1,6,1,3,2,0,0,7,12,0,0,1,0,1,"M.C.G.",88084,"Richmond","Carlton",58,58
11948,"Tom","Lynch","Richmond",19,2023,"1","2023-03-16",9,1,10,6,3,3,1,0,0,1,2,3,0,2,0,9,3,4,5,5,0,0,"M.C.G.",88084,"Richmond","Carlton",58,58
12883,"Rhyan","Mansell","Richmond",31,2023,"1","2023-03-16",5,2,7,4,0,0,0,1,0,2,0,2,0,1,0,3,4,0,0,1,0,0,"M.C.G.",88084,"Richmond","Carlton",58,58
11794,"Dustin","Martin","Richmond",4,2023,"1","2023-03-16",15,8,23,6,1,0,0,0,1,8,1,5,0,3,0,10,13,2,0,1,1,1,"M.C.G.",88084,"Richmond","Carlton",58,58
12317,"Kamdyn","McIntosh","Richmond",33,2023,"1","2023-03-16",11,6,17,5,0,0,0,3,2,3,1,2,0,1,0,4,15,0,0,2,0,1,"M.C.G.",88084,"Richmond","Carlton",58,58
12941,"Ben","Miller","Richmond",46,2023,"1","2023-03-16",5,4,9,4,0,0,5,1,1,1,3,1,1,0,0,5,5,0,1,4,0,0,"M.C.G.",88084,"Richmond","Carlton",58,58
12374,"Toby","Nankervis","Richmond",25,2023,"1","2023-03-16",8,6,14,1,0,0,37,11,1,1,5,5,2,2,0,11,2,0,0,5,0,0,"M.C.G.",88084,"Richmond","Carlton",58,58
12761,"Marlion","Pickett","Richmond",50,2023,"1","2023-03-16",4,6,10,2,0,0,0,2,1,2,0,4,1,3,0,6,5,1,0,2,0,0,"M.C.G.",88084,"Richmond","Carlton",58,58
11917,"Dion","Prestia","Richmond",3,2023,"1","2023-03-16",10,13,23,4,0,1,0,1,1,2,5,3,1,1,0,13,11,0,1,1,0,0,"M.C.G.",88084,"Richmond","Carlton",58,58
11576,"Jack","Riewoldt","Richmond",8,2023,"1","2023-03-16",9,3,12,6,1,0,1,5,0,4,1,3,1,1,0,10,3,4,1,2,0,0,"M.C.G.",88084,"Richmond","Carlton",58,58
12403,"Daniel","Rioli","Richmond",17,2023,"1","2023-03-16",17,10,27,7,0,0,0,4,5,5,0,2,0,0,2,6,17,1,0,1,3,1,"M.C.G.",88084,"Richmond","Carlton",58,58
12935,"Maurice","Rioli","Richmond",10,2023,"1","2023-03-16",7,4,11,2,2,0,0,3,0,2,1,3,1,1,0,4,9,0,0,1,1,0,"M.C.G.",88084,"Richmond","Carlton",58,58
12712,"Jack","Ross","Richmond",5,2023,"1","2023-03-16",4,0,4,2,0,0,0,0,1,0,0,1,1,0,0,1,2,0,1,1,0,0,"M.C.G.",88084,"Richmond","Carlton",58,58
12418,"Jayden","Short","Richmond",15,2023,"1","2023-03-16",15,2,17,6,0,0,0,3,4,4,1,0,0,0,0,3,13,0,0,0,1,1,"M.C.G.",88084,"Richmond","Carlton",58,58
12504,"Tim","Taranto","Richmond",14,2023,"1","2023-03-16",18,14,32,3,0,2,0,8,3,4,5,8,1,1,0,12,20,0,0,0,0,0,"M.C.G.",88084,"Richmond","Carlton",58,58
12174,"Nick","Vlastuin","Richmond",1,2023,"1","2023-03-16",9,2,11,4,0,1,0,2,2,2,0,0,1,0,0,2,7,0,0,4,0,0,"M.C.G.",88084,"Richmond","Carlton",58,58
12276,"Blake","Acres","Carlton",13,2023,"1","2023-03-16",10,6,16,5,0,0,0,2,2,2,0,5,2,2,0,5,13,0,0,3,0,0,"M.C.G.",88084,"Richmond","Carlton",58,58
12603,"Adam","Cerra","Carlton",5,2023,"1","2023-03-16",14,7,21,6,0,0,0,3,1,3,2,3,3,0,0,10,13,0,0,3,0,1,"M.C.G.",88084,"Richmond","Carlton",58,58
13028,"Lachlan","Cowan","Carlton",26,2023,"1","2023-03-16",6,2,8,2,0,0,0,2,1,1,0,2,1,0,0,6,3,2,0,2,0,0,"M.C.G.",88084,"Richmond","Carlton",58,58
12261,"Patrick","Cripps","Carlton",9,2023,"1","2023-03-16",9,16,25,2,0,1,0,6,2,2,7,3,0,2,0,15,11,1,0,2,0,0,"M.C.G.",88084,"Richmond","Carlton",58,58
12421,"Charlie","Curnow","Carlton",30,2023,"1","2023-03-16",8,2,10,1,3,0,0,1,0,4,0,4,0,1,0,4,4,1,1,1,0,0,"M.C.G.",88084,"Richmond","Carlton",58,58
11883,"Ed","Curnow","Carlton",35,2023,"1","2023-03-16",12,2,14,6,0,0,0,4,1,4,1,3,0,0,0,2,12,0,0,0,0,2,"M.C.G.",88084,"Richmond","Carlton",58,58
12674,"Tom","De Koning","Carlton",12,2023,"1","2023-03-16",7,6,13,2,0,1,24,3,1,1,3,3,3,1,0,10,3,1,0,3,0,0,"M.C.G.",88084,"Richmond","Carlton",58,58
12170,"Sam","Docherty","Carlton",15,2023,"1","2023-03-16",23,2,25,8,1,0,0,2,6,2,1,3,2,1,0,2,18,0,0,0,0,0,"M.C.G.",88084,"Richmond","Carlton",58,58
12520,"Zac","Fisher","Carlton",25,2023,"1","2023-03-16",5,2,7,1,1,0,0,0,0,0,1,0,0,0,0,3,6,0,0,2,0,0,"M.C.G.",88084,"Richmond","Carlton",58,58
12411,"George","Hewett","Carlton",29,2023,"1","2023-03-16",10,18,28,5,0,0,0,4,3,2,8,3,2,0,1,14,13,0,0,0,0,0,"M.C.G.",88084,"Richmond","Carlton",58,58
13029,"Oliver","Hollands","Carlton",14,2023,"1","2023-03-16",5,6,11,2,0,1,0,3,3,0,2,2,1,1,0,5,8,0,0,3,0,0,"M.C.G.",88084,"Richmond","Carlton",58,58
12455,"Matthew","Kennedy","Carlton",7,2023,"1","2023-03-16",13,9,22,5,0,1,0,5,3,5,4,1,1,1,0,9,13,0,1,0,0,0,"M.C.G.",88084,"Richmond","Carlton",58,58
12236,"Jack","Martin","Carlton",21,2023,"1","2023-03-16",3,3,6,1,0,1,0,3,0,2,0,0,1,0,0,4,2,0,0,2,0,0,"M.C.G.",88084,"Richmond","Carlton",58,58
12404,"Mitch","McGovern","Carlton",11,2023,"1","2023-03-16",17,4,21,7,0,0,0,4,8,3,1,4,0,1,0,8,11,3,0,4,0,0,"M.C.G.",88084,"Richmond","Carlton",58,58
12566,"Harry","McKay","Carlton",10,2023,"1","2023-03-16",11,2,13,10,1,2,0,1,0,6,0,4,0,1,0,8,7,4,2,2,0,1,"M.C.G.",88084,"Richmond","Carlton",58,58
12990,"Jesse","Motlop","Carlton",3,2023,"1","2023-03-16",5,5,10,4,0,0,0,2,0,2,0,3,1,1,0,5,5,1,0,0,0,0,"M.C.G.",88084,"Richmond","Carlton",58,58
12508,"Nic","Newman","Carlton",24,2023,"1","2023-03-16",9,5,14,5,0,0,0,2,5,0,0,0,1,0,0,5,9,0,0,4,0,0,"M.C.G.",88084,"Richmond","Carlton",58,58
12611,"Lochie","OBrien","Carlton",4,2023,"1","2023-03-16",3,1,4,0,0,0,0,0,1,1,0,0,1,0,0,2,2,0,0,0,4,0,"M.C.G.",88084,"Richmond","Carlton",58,58
12839,"Matthew","Owies","Carlton",44,2023,"1","2023-03-16",5,5,10,1,1,1,0,2,0,1,0,4,1,2,0,3,8,0,0,0,0,0,"M.C.G.",88084,"Richmond","Carlton",58,58
12330,"Adam","Saad","Carlton",42,2023,"1","2023-03-16",13,5,18,3,0,0,0,2,7,1,0,2,2,2,0,8,10,0,0,5,5,0,"M.C.G.",88084,"Richmond","Carlton",58,58
12458,"Jack","Silvagni","Carlton",1,2023,"1","2023-03-16",2,3,5,2,1,0,2,2,0,1,1,3,1,2,0,5,1,1,1,3,0,0,"M.C.G.",88084,"Richmond","Carlton",58,58
12402,"Jacob","Weitering","Carlton",23,2023,"1","2023-03-16",17,3,20,11,0,0,0,1,10,1,0,2,1,0,0,7,14,2,0,8,1,0,"M.C.G.",88084,"Richmond","Carlton",58,58
12559,"Lewis","Young","Carlton",33,2023,"1","2023-03-16",14,6,20,8,0,0,0,1,3,1,1,3,1,1,0,8,8,2,0,5,0,0,"M.C.G.",88084,"Richmond","Carlton",58,58
